Date, Name, Store, City, State, Description, Presentation, Chicken, Spice, Sauce, Crunch, Pickled Things, X-factor, Final Rating
2021-11-18, Strip Sandwich, Chick-fil-a, Christiansburg, Virginia, 4 Chicken Strips on a white bun with Chick-fil-a sauce, 3.5, 6.5, 5, 7.5, 7, 0, 0, 5.9
2022-01-20, Hot Honey Fried Chicken Sandwich, Eastern Divide Brewery, Blacksburg, Virginia, Guajillo-Habanero Honey Citrus-Cilantro Slaw House Pickle, 6.0, 8.5, 8.5, 5.0, 9.5, 2.5, 2.5, 8.4
2022-02-11, Spicy Fried Chicken Sandwich, Maroon Door, Blacksburg, Virginia, Spicy Chicken Filet on a cornbread bun with a slice of watermelon, 9.0, 8.0, 7.0, 3.0, 5.0, 1.0, 2.0, 7.2
2022-03-02, Fried Chicken Sandwich, El Ranchero, Blacksburg, Virginia, Dry-ass chicken filet from a Mexican restaurant with lettuce tomato and white sauce, 2.0, 0.0, 1.0, 5.0, 1.0, 0.0, 0.0, 1.8
2022-03-21, Hot Honey Chicken Sandwich, Wendys, Christiansburg, Virginia, Spicy chicken sandwich with pepper jack cheese bacon and fried pickles, 6.0, 7.0, 8.0, 5.0, 7.0, 2.0, 1.0, 7.2
2022-03-23, Bojangles chicken sandwich with grape jelly instead of mayo, Bojangles, Blacksburg, Virginia, Spicy chicken sandwich with pickles and grape jelly, 7.0, 7.0, 8.5, 5.0, 8.5, 1.0, 0.0, 7.2
2022-04-04, Zaxbys signature chicken sandwich with spicy Zax sauce, Zaxbys, Blacksburg, Virginia, Chicken sandwich is spicy sauce and pickles, 7.5, 7.5, 7.0, 7.0, 8.5, 1.5, 0.0, 7.8
2022-04-09, Paneras signature take spicy, Panera Bread, Christiansburg, Virginia, Spicy chicken sandwich with fried pickles in a nice box, 9, 5.0, 5.0, 6.0, 2.0, 1.0, 1.0, 5.8
2022-04-11, The Barnyard Sandwich, Macados, Blacksburg, Virginia, Fried chicken filet American cheese bacon lettuce tomato mayo topped off with a fried egg on sourdough bread, 6.0, 6.5, 5.0, 5.0, 7.0, 0.0, 2.5, 6.4
